Date,Price,,,,,
05/01/2023,4205.45,,,,,
04/01/2023,4169.48,,,,,
03/01/2023,4109.31,,,,,
02/01/2023,3970.15,,,,,
01/01/2023,4076.6,,,,,
12/01/2022,3839.5,,,,,
11/01/2022,4080.11,,,,,
10/01/2022,3871.98,,,,,
09/01/2022,3585.62,,,,,
08/01/2022,3955,,,,,
07/01/2022,4130.29,,,,,
06/01/2022,3785.38,,,,,
05/01/2022,4132.15,,,,,
04/01/2022,4131.93,,,,,
03/01/2022,4530.41,,,,,
02/01/2022,4373.79,,,,,
01/01/2022,4515.55,,,,,
12/01/2021,4766.18,,,,,
11/01/2021,4567,,,,,
10/01/2021,4605.38,,,,,
09/01/2021,4307.54,,,,,
08/01/2021,4522.68,,,,,
07/01/2021,4395.26,,,,,
06/01/2021,4297.5,,,,,
05/01/2021,4204.11,,,,,
04/01/2021,4181.17,,,,,
03/01/2021,3972.89,,,,,
02/01/2021,3811.15,,,,,
01/01/2021,3714.24,,,,,
12/01/2020,3756.07,,,,,
11/01/2020,3621.63,,,,,
10/01/2020,3269.96,,,,,
09/01/2020,3363,,,,,
08/01/2020,3500.31,,,,,
07/01/2020,3271.12,,,,,
06/01/2020,3100.29,,,,,
05/01/2020,3044.31,,,,,
04/01/2020,2912.43,,,,,
03/01/2020,2584.59,,,,,
02/01/2020,2954.22,,,,,
01/01/2020,3225.52,,,,,
12/01/2019,3230.78,,,,,
11/01/2019,3140.98,,,,,
10/01/2019,3037.56,,,,,
09/01/2019,2976.74,,,,,
08/01/2019,2926.46,,,,,
07/01/2019,2980.38,,,,,
06/01/2019,2941.76,,,,,
05/01/2019,2752.06,,,,,
04/01/2019,2945.83,,,,,
03/01/2019,2834.4,,,,,
02/01/2019,2784.49,,,,,
01/01/2019,2704.1,,,,,
12/01/2018,2506.85,,,,,
11/01/2018,2760.17,,,,,
10/01/2018,2711.74,,,,,
09/01/2018,2913.98,,,,,
08/01/2018,2901.52,,,,,
07/01/2018,2816.29,,,,,
06/01/2018,2718.37,,,,,
05/01/2018,2705.27,,,,,
04/01/2018,2648.05,,,,,
03/01/2018,2640.87,,,,,
02/01/2018,2713.83,,,,,
01/01/2018,2823.81,,,,,
12/01/2017,2673.61,,,,,
11/01/2017,2647.58,,,,,
10/01/2017,2575.26,,,,,
09/01/2017,2519.36,,,,,
08/01/2017,2471.65,,,,,
07/01/2017,2470.3,,,,,
06/01/2017,2423.41,,,,,
05/01/2017,2411.8,,,,,
04/01/2017,2384.2,,,,,
03/01/2017,2362.72,,,,,
02/01/2017,2363.64,,,,,
01/01/2017,2278.87,,,,,
12/01/2016,2238.83,,,,,
11/01/2016,2198.81,,,,,
10/01/2016,2126.15,,,,,
09/01/2016,2168.27,,,,,
08/01/2016,2170.95,,,,,
07/01/2016,2173.6,,,,,
06/01/2016,2098.86,,,,,
05/01/2016,2096.96,,,,,
04/01/2016,2065.3,,,,,
03/01/2016,2059.74,,,,,
02/01/2016,1932.23,,,,,
01/01/2016,1940.24,,,,,
12/01/2015,2043.94,,,,,
11/01/2015,2080.41,,,,,
10/01/2015,2079.36,,,,,
09/01/2015,1920.03,,,,,
08/01/2015,1972.18,,,,,
07/01/2015,2103.84,,,,,
06/01/2015,2063.11,,,,,
05/01/2015,2107.39,,,,,
04/01/2015,2085.51,,,,,
03/01/2015,2067.89,,,,,
02/01/2015,2104.5,,,,,
01/01/2015,1994.99,,,,,
12/01/2014,2058.9,,,,,
11/01/2014,2067.56,,,,,
10/01/2014,2018.05,,,,,
09/01/2014,1972.29,,,,,
08/01/2014,2003.37,,,,,
07/01/2014,1930.67,,,,,
06/01/2014,1960.23,,,,,
05/01/2014,1923.57,,,,,
04/01/2014,1883.95,,,,,
03/01/2014,1872.34,,,,,
02/01/2014,1859.45,,,,,
01/01/2014,1782.59,,,,,
12/01/2013,1848.36,,,,,
11/01/2013,1805.81,,,,,
10/01/2013,1756.54,,,,,
09/01/2013,1681.55,,,,,
08/01/2013,1632.97,,,,,
07/01/2013,1685.73,,,,,
06/01/2013,1606.28,,,,,
05/01/2013,1630.74,,,,,
04/01/2013,1597.57,,,,,
03/01/2013,1569.19,,,,,
02/01/2013,1514.68,,,,,
01/01/2013,1498.11,,,,,
12/01/2012,1426.19,,,,,
11/01/2012,1416.18,,,,,
10/01/2012,1412.16,,,,,
09/01/2012,1440.67,,,,,
08/01/2012,1406.58,,,,,
07/01/2012,1379.32,,,,,
06/01/2012,1362.16,,,,,
05/01/2012,1310.33,,,,,
04/01/2012,1397.91,,,,,
03/01/2012,1408.47,,,,,
02/01/2012,1365.68,,,,,
01/01/2012,1312.41,,,,,
12/01/2011,1257.6,,,,,
11/01/2011,1246.96,,,,,
10/01/2011,1253.3,,,,,
09/01/2011,1131.42,,,,,
08/01/2011,1218.89,,,,,
07/01/2011,1292.28,,,,,
06/01/2011,1320.64,,,,,
05/01/2011,1345.2,,,,,
04/01/2011,1363.61,,,,,
03/01/2011,1325.83,,,,,
02/01/2011,1327.22,,,,,
01/01/2011,1286.12,,,,,
12/01/2010,1257.64,,,,,
11/01/2010,1180.55,,,,,
10/01/2010,1183.26,,,,,
