Date,SP,BTC,XU
10/01/2010,1183.26 ,0.20 ,1359.55 
11/01/2010,1180.55 ,0.20 ,1384.85 
12/01/2010,1257.64 ,0.30 ,1421.45 
01/01/2011,1286.12 ,0.50 ,1332.19 
02/01/2011,1327.22 ,0.90 ,1411.65 
03/01/2011,1325.83 ,0.80 ,1432.00 
04/01/2011,1363.61 ,3.50 ,1565.60 
05/01/2011,1345.20 ,8.70 ,1535.35 
06/01/2011,1320.64 ,16.10 ,1500.10 
07/01/2011,1292.28 ,13.40 ,1626.64 
08/01/2011,1218.89 ,8.20 ,1823.80 
09/01/2011,1131.42 ,5.10 ,1623.75 
10/01/2011,1253.30 ,3.30 ,1715.25 
11/01/2011,1246.96 ,3.00 ,1745.70 
12/01/2011,1257.60 ,4.70 ,1564.30 
01/01/2012,1312.41 ,5.50 ,1739.43 
02/01/2012,1365.68 ,4.90 ,1695.20 
03/01/2012,1408.47 ,4.90 ,1668.90 
04/01/2012,1397.91 ,4.90 ,1664.36 
05/01/2012,1310.33 ,5.20 ,1560.70 
06/01/2012,1362.16 ,6.70 ,1598.60 
07/01/2012,1379.32 ,9.40 ,1613.90 
08/01/2012,1406.58 ,10.20 ,1691.15 
09/01/2012,1440.67 ,12.40 ,1771.22 
10/01/2012,1412.16 ,11.20 ,1720.55 
11/01/2012,1416.18 ,12.60 ,1714.40 
12/01/2012,1426.19 ,13.50 ,1674.34 
01/01/2013,1498.11 ,20.40 ,1662.99 
02/01/2013,1514.68 ,33.40 ,1579.76 
03/01/2013,1569.19 ,93.00 ,1596.17 
04/01/2013,1597.57 ,139.20 ,1476.60 
05/01/2013,1630.74 ,128.80 ,1386.40 
06/01/2013,1606.28 ,97.50 ,1233.14 
07/01/2013,1685.73 ,106.20 ,1322.49 
08/01/2013,1632.97 ,141.00 ,1395.69 
09/01/2013,1681.55 ,141.90 ,1326.94 
10/01/2013,1756.54 ,211.20 ,1323.19 
11/01/2013,1805.81 ,1205.70 ,1251.99 
12/01/2013,1848.36 ,805.90 ,1204.94 
01/01/2014,1782.59 ,938.80 ,1243.19 
02/01/2014,1859.45 ,573.90 ,1325.79 
03/01/2014,1872.34 ,444.70 ,1283.64 
04/01/2014,1883.95 ,445.60 ,1291.29 
05/01/2014,1923.57 ,627.90 ,1250.69 
06/01/2014,1960.23 ,635.10 ,1327.19 
07/01/2014,1930.67 ,589.50 ,1282.09 
