Date,Price,,,,,
05/01/2023,1946.33,,,,,
04/01/2023,1989.65,,,,,
03/01/2023,1967.9,,,,,
02/01/2023,1827.15,,,,,
01/01/2023,1927.88,,,,,
12/01/2022,1824.4,,,,,
11/01/2022,1768.45,,,,,
10/01/2022,1633.12,,,,,
09/01/2022,1659.67,,,,,
08/01/2022,1710.7,,,,,
07/01/2022,1765.22,,,,,
06/01/2022,1806.89,,,,,
05/01/2022,1837.09,,,,,
04/01/2022,1896.4,,,,,
03/01/2022,1937.23,,,,,
02/01/2022,1907.9,,,,,
01/01/2022,1796.47,,,,,
12/01/2021,1828.39,,,,,
11/01/2021,1773.78,,,,,
10/01/2021,1782.81,,,,,
09/01/2021,1756.66,,,,,
08/01/2021,1813.43,,,,,
07/01/2021,1813.58,,,,,
06/01/2021,1769.8,,,,,
05/01/2021,1906.36,,,,,
04/01/2021,1768.59,,,,,
03/01/2021,1707.01,,,,,
02/01/2021,1733.49,,,,,
01/01/2021,1846.09,,,,,
12/01/2020,1896.49,,,,,
11/01/2020,1777.02,,,,,
10/01/2020,1877.95,,,,,
09/01/2020,1885.44,,,,,
08/01/2020,1969.75,,,,,
07/01/2020,1974.69,,,,,
06/01/2020,1780.67,,,,,
05/01/2020,1726.3,,,,,
04/01/2020,1680.09,,,,,
03/01/2020,1571.05,,,,,
02/01/2020,1584.74,,,,,
01/01/2020,1589.81,,,,,
12/01/2019,1517.01,,,,,
11/01/2019,1463.9,,,,,
10/01/2019,1513.16,,,,,
09/01/2019,1472,,,,,
08/01/2019,1519.85,,,,,
07/01/2019,1413.55,,,,,
06/01/2019,1409.1,,,,,
05/01/2019,1305.25,,,,,
04/01/2019,1283.35,,,,,
03/01/2019,1291.9,,,,,
02/01/2019,1312.66,,,,,
01/01/2019,1320.56,,,,,
12/01/2018,1282.73,,,,,
11/01/2018,1221.88,,,,,
10/01/2018,1214.14,,,,,
09/01/2018,1191.69,,,,,
08/01/2018,1200.71,,,,,
07/01/2018,1223.41,,,,,
06/01/2018,1252.25,,,,,
05/01/2018,1297.92,,,,,
04/01/2018,1314.95,,,,,
03/01/2018,1324,,,,,
02/01/2018,1317.66,,,,,
01/01/2018,1344.7,,,,,
12/01/2017,1302.45,,,,,
11/01/2017,1274.36,,,,,
10/01/2017,1271.2,,,,,
09/01/2017,1279.1,,,,,
08/01/2017,1321.6,,,,,
07/01/2017,1269.05,,,,,
06/01/2017,1241.2,,,,,
05/01/2017,1268.09,,,,,
04/01/2017,1267.65,,,,,
03/01/2017,1248.63,,,,,
02/01/2017,1248.52,,,,,
01/01/2017,1210.51,,,,,
12/01/2016,1151.46,,,,,
11/01/2016,1172.7,,,,,
10/01/2016,1277.28,,,,,
09/01/2016,1315.8,,,,,
08/01/2016,1308.45,,,,,
07/01/2016,1350.59,,,,,
06/01/2016,1321.78,,,,,
05/01/2016,1214.69,,,,,
04/01/2016,1293.36,,,,,
03/01/2016,1231.95,,,,,
02/01/2016,1237.76,,,,,
01/01/2016,1117.64,,,,,
12/01/2015,1060.91,,,,,
11/01/2015,1064.02,,,,,
10/01/2015,1142,,,,,
09/01/2015,1114.6,,,,,
08/01/2015,1134.1,,,,,
07/01/2015,1095.4,,,,,
06/01/2015,1172.2,,,,,
05/01/2015,1189.75,,,,,
04/01/2015,1183.85,,,,,
03/01/2015,1183.1,,,,,
02/01/2015,1212.55,,,,,
01/01/2015,1282.8,,,,,
12/01/2014,1183.55,,,,,
11/01/2014,1167.04,,,,,
10/01/2014,1173.92,,,,,
09/01/2014,1208.74,,,,,
08/01/2014,1287.07,,,,,
07/01/2014,1282.09,,,,,
06/01/2014,1327.19,,,,,
05/01/2014,1250.69,,,,,
04/01/2014,1291.29,,,,,
03/01/2014,1283.64,,,,,
02/01/2014,1325.79,,,,,
01/01/2014,1243.19,,,,,
12/01/2013,1204.94,,,,,
11/01/2013,1251.99,,,,,
10/01/2013,1323.19,,,,,
09/01/2013,1326.94,,,,,
08/01/2013,1395.69,,,,,
07/01/2013,1322.49,,,,,
06/01/2013,1233.14,,,,,
05/01/2013,1386.4,,,,,
04/01/2013,1476.6,,,,,
03/01/2013,1596.17,,,,,
02/01/2013,1579.76,,,,,
01/01/2013,1662.99,,,,,
12/01/2012,1674.34,,,,,
11/01/2012,1714.4,,,,,
10/01/2012,1720.55,,,,,
09/01/2012,1771.22,,,,,
08/01/2012,1691.15,,,,,
07/01/2012,1613.9,,,,,
06/01/2012,1598.6,,,,,
05/01/2012,1560.7,,,,,
04/01/2012,1664.36,,,,,
03/01/2012,1668.9,,,,,
02/01/2012,1695.2,,,,,
01/01/2012,1739.43,,,,,
12/01/2011,1564.3,,,,,
11/01/2011,1745.7,,,,,
10/01/2011,1715.25,,,,,
09/01/2011,1623.75,,,,,
08/01/2011,1823.8,,,,,
07/01/2011,1626.64,,,,,
06/01/2011,1500.1,,,,,
05/01/2011,1535.35,,,,,
04/01/2011,1565.6,,,,,
03/01/2011,1432,,,,,
02/01/2011,1411.65,,,,,
01/01/2011,1332.19,,,,,
12/01/2010,1421.45,,,,,
11/01/2010,1384.85,,,,,
10/01/2010,1359.55,,,,,
